session_test_id,age,headphones,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_comment
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,reference,100,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,dil_cr1,18,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,wpe,25,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_403a_1,dil_oracle,44,87550,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,dil_cr1,54,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,hidden_ref,100,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,reference,93,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,dil_oracle,40,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,buddy,13,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,observed,28,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_803_1,wpe,73,92476,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,dil_oracle,58,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,wpe,39,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,buddy,82,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,observed,18,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,dil_cr1,49,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,reference,100,101657,
dil_libri_mushra_v3,25,yes,a95c70d0-03c7-4b53-a57d-29616f4a61a0,trial_508_2,hidden_ref,53,101657,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,dil_cr1,61,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,dil_oracle,81,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,hidden_ref,100,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,buddy,23,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,wpe,79,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,observed,61,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_1,reference,100,194968,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,wpe,22,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,reference,100,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,observed,22,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,dil_cr1,23,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,buddy,63,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,hidden_ref,100,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_2,dil_oracle,22,81896,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,reference,100,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,hidden_ref,100,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,buddy,62,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,observed,60,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,dil_oracle,81,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,dil_cr1,82,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_1,wpe,82,120668,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,dil_cr1,60,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,reference,100,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,observed,60,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,wpe,60,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,buddy,40,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,hidden_ref,100,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_803_2,dil_oracle,70,94481,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,observed,50,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,wpe,60,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,dil_cr1,55,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,hidden_ref,100,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,buddy,70,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,reference,100,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_508_2,dil_oracle,55,120400,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,dil_cr1,33,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,observed,33,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,buddy,57,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,wpe,40,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,dil_oracle,51,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,reference,100,88673,
dil_libri_mushra_v3,26,yes,e8a8daa8-5c5c-4a37-bfb7-1d05cb2bfb3a,trial_403a_1,hidden_ref,100,88673,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,hidden_ref,87,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,dil_cr1,43,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,observed,26,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,buddy,50,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,reference,85,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,dil_oracle,67,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_1,wpe,54,96365,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,buddy,54,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,observed,29,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,reference,81,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,dil_oracle,40,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,wpe,55,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,dil_cr1,32,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_803_1,hidden_ref,89,56692,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,buddy,52,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,reference,94,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,wpe,49,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,hidden_ref,79,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,dil_oracle,45,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,observed,31,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_508_2,dil_cr1,62,94783,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,dil_oracle,49,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,dil_cr1,27,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,wpe,45,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,buddy,92,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,reference,95,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,observed,18,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_2,hidden_ref,85,60951,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_1,buddy,65,52767,
dil_libri_mushra_v3,32,yes,49e9dd4f-edd2-4055-9bf5-8dc60ab06218,trial_403a_1,dil_oracle,24,52767,
